来源编号,来源层级,地区,来源名称,来源类型,主管/发布主体,主站URL,优先入口URL,采集方式,是否纳入自动采集,抓取边界,重点主题,采集优先级,采集频率,状态,备注
SRC-N-001,国家级,全国,国家发展改革委-政策通知,官方政策,国家发展改革委,https://www.ndrc.gov.cn/,https://www.ndrc.gov.cn/xxgk/zcfb/tz/,HTML列表,是,只抓政策通知栏目正式文件 不抓新闻动态 政策解读 答记者问,电力市场/现货/省间交易/容量电价/电改,A,每周,启用,当前最稳定的国家级正式政策入口之一
SRC-N-002,国家级,全国,国家发展改革委-规范性文件,官方政策,国家发展改革委,https://www.ndrc.gov.cn/,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/,HTML列表,是,只抓规范性文件栏目正式文件 不抓解读和转载,中长期/辅助服务/计量结算/市场规则,A,每周,启用,适合抓基础规则和制度性文件
SRC-N-003,国家级,全国,国家能源局-官网首页最新文件,官方政策,国家能源局,https://www.nea.gov.cn/,https://www.nea.gov.cn/,首页栏目 半自动,否,仅人工确认后抓最新文件 通知 公告入口 不抓会议新闻和一般工作动态,电力市场/能源监管/市场建设,A,每周,启用,首页信息多 噪声较高 不建议直接全自动
SRC-N-004,国家级,全国,国家能源局-政府信息公开,官方政策,国家能源局,https://zfxxgk.nea.gov.cn/,https://zfxxgk.nea.gov.cn/,公开目录 半自动,否,优先抓政府信息公开中的规范性文件 能源监管 行政规范文件 不抓机构介绍页,能源监管/电力市场/监管规则,A,每周,启用,适合作为国家能源局正式文件校验入口
SRC-N-005,国家级,全国,工业和信息化部-政策文件通知,官方政策,工业和信息化部,https://www.miit.gov.cn/,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/,HTML列表,是,只抓政策文件通知栏目 不抓新闻稿和活动报道,工业用电/需求响应/绿色制造/数字能源,B,每月,启用,作为电力市场外围辅助政策来源
SRC-N-006,国家级,全国,工业和信息化部-政策文件公告,官方政策,工业和信息化部,https://www.miit.gov.cn/,https://www.miit.gov.cn/zwgk/zcwj/wjfb/gg/,HTML列表,是,只抓公告栏目正式文件 不抓转载解读,工业运行/节能降碳/绿色低碳,B,每月,启用,补充通知栏目之外的正式公告
SRC-N-007,国家级,全国,中国政府网-政策库,官方政策,国务院及国务院部门,https://www.gov.cn/,https://www.gov.cn/zhengce/,浏览器/手工补链,否,仅作正式文件核验和补链入口 不做程序化高频抓取,国家级政策汇总/联合发文/A类依据,A,每周,启用,对反爬较敏感 适合人工核对后补种子链接
SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,监管规则,国家能源局派出机构,https://nfj.nea.gov.cn/,https://nfj.nea.gov.cn/xwzx/tzgg/,HTML列表,是,只抓通知公示栏目中的监管文件 征求意见 市场规则相关通知 不抓综合新闻,南方区域市场监管/辅助服务/交易秩序,A,每周,启用,通知公示栏目可直接形成规则类候选链接
SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,监管规则,国家能源局派出机构,https://hzj.nea.gov.cn/,https://hzj.nea.gov.cn/dtyw/tzgg/,HTML列表,是,只抓通知公告栏目中的规则文件 征求意见 实施细则 不抓一般政务新闻,华中区域监管/省间交易/辅助服务,A,每周,启用,华中区域规则类文件较集中
SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,监管规则,国家能源局派出机构,https://sdb.nea.gov.cn/,https://sdb.nea.gov.cn/dtyw/tzgg/,HTML列表,是,只抓通知公告栏目中的市场规则 监管办法 征求意见 不抓综合报道,山东电力市场/现货/辅助服务/监管通报,A,每周,启用,山东市场规则和参数文件经常从这里发
