"抓取批次","候选编号","来源编号","来源层级","地区","来源栏目","发布部门","文件标题","发布日期","命中关键词","文档类型","质量分","入库状态","建议动作","原文链接","来源列表页"
"20260427_185749","CAND-C45458E7FC03","SRC-R-006","区域监管","西北区域","国家能源局西北监管局-通知公告","国家能源局派出机构","国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文） 2024-10-18","2024-10-18","实施细则;中长期;跨省","HTML","70","已入库","无需重复入库","https://xbj.nea.gov.cn/dtyw/tzgg/202410/t20241018_271012.html","https://xbj.nea.gov.cn/dtyw/tzgg/index_11.html"
"20260427_185749","CAND-EC19F02593BC","SRC-R-006","区域监管","西北区域","国家能源局西北监管局-通知公告","国家能源局派出机构","国家能源局西北监管局关于印发《西北区域省间电力互济交易实施细则(试行)》的通知 2026-04-27","2026-04-27","实施细则;省间","HTML","70","已入库","无需重复入库","https://xbj.nea.gov.cn/dtyw/tzgg/202604/t20260427_300347.html","https://xbj.nea.gov.cn/dtyw/tzgg/"
"20260427_185749","CAND-BAC94CD920DC","SRC-R-003","区域监管","山东","国家能源局山东监管办公室-通知公告","国家能源局派出机构","关于印发《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山... 2020-06-16","2020-06-16","交易规则;中长期;现货","HTML","66","已入库","无需重复入库","https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110422.html","https://sdb.nea.gov.cn/dtyw/tzgg/index_5.html"
"20260427_185749","CAND-E22FE011861F","SRC-R-002","区域监管","华中区域","国家能源局华中监管局-通知公告","国家能源局派出机构","国家能源局华中监管局关于印发《华中省间电力调峰及备用辅助服务市场运营规则》的通知 2022-10-11","2022-10-11","运营规则;辅助服务;调峰;备用;省间","HTML","66","已入库","无需重复入库","https://hzj.nea.gov.cn/dtyw/tzgg/202310/t20231021_165597.html","https://hzj.nea.gov.cn/dtyw/tzgg/index_7.html"
"20260427_185749","CAND-5D8B9D2AA975","SRC-R-006","区域监管","西北区域","国家能源局西北监管局-通知公告","国家能源局派出机构","国家能源局西北监管局关于印发《西北区域备用辅助服务市场运营规则》的通知 2023-05-18","2023-05-18","运营规则;辅助服务;备用","HTML","66","已入库","无需重复入库","https://xbj.nea.gov.cn/dtyw/tzgg/202310/t20231013_147606.html","https://xbj.nea.gov.cn/dtyw/tzgg/index_15.html"
"20260427_185749","CAND-426F6E93C049","SRC-R-006","区域监管","西北区域","国家能源局西北监管局-通知公告","国家能源局派出机构","国家能源局西北监管局关于印发《西北区域省间调峰辅助服务市场运营规则》补充修订... 2023-11-21","2023-11-21","运营规则;辅助服务;调峰;省间","HTML","66","已入库","无需重复入库","https://xbj.nea.gov.cn/dtyw/tzgg/202312/t20231214_220694.html","https://xbj.nea.gov.cn/dtyw/tzgg/index_14.html"
"20260427_185749","CAND-A21BC5FA777E","SRC-R-002","区域监管","华中区域","国家能源局华中监管局-通知公告","国家能源局派出机构","国家能源局华中监管局关于印发《湖北源网荷储电力调峰辅助服务市场运营规则》的通知 2024-01-03","2024-01-03","运营规则;辅助服务;调峰;源网荷储","HTML","66","已入库","无需重复入库","https://hzj.nea.gov.cn/dtyw/tzgg/202401/t20240124_229471.html","https://hzj.nea.gov.cn/dtyw/tzgg/index_5.html"
"20260427_185749","CAND-EDE85AAF9A45","SRC-R-007","区域监管","华东区域","国家能源局华东监管局-通知公告","国家能源局派出机构","关于印发修订后的《上海电力中长期交易规则》的通知（华东监... 2025-02-21","2025-02-21","交易规则;中长期","PDF","66","已入库","无需重复入库","https://hdj.nea.gov.cn/dtyw/tzgg/202502/P020250221488658226958.pdf","https://hdj.nea.gov.cn/dtyw/tzgg/index_17.html"
"20260427_185749","CAND-EC24CC36EA9A","SRC-R-007","区域监管","华东区域","国家能源局华东监管局-通知公告","国家能源局派出机构","关于印发修订后的《安徽电力中长期交易规则》的通知（华东监... 2025-02-21","2025-02-21","交易规则;中长期","PDF","66","已入库","无需重复入库","https://hdj.nea.gov.cn/dtyw/tzgg/202502/P020250221489106643014.pdf","https://hdj.nea.gov.cn/dtyw/tzgg/index_16.html"
"20260427_185749","CAND-3ADCAA1520E7","SRC-R-006","区域监管","西北区域","国家能源局西北监管局-通知公告","国家能源局派出机构","国家能源局西北监管局关于印发《西北区域抽水蓄能电站参与跨省电力交易实施细则（... 2025-05-15","2025-05-15","电力交易;实施细则;跨省","HTML","66","已入库","无需重复入库","https://xbj.nea.gov.cn/dtyw/tzgg/202505/t20250515_281064.html","https://xbj.nea.gov.cn/dtyw/tzgg/index_5.html"
"20260427_185749","CAND-166CF8A8B571","SRC-R-007","区域监管","华东区域","国家能源局华东监管局-通知公告","国家能源局派出机构","华东能源监管局关于加强电力中长期批发交易监管的通知 2025-12-23","2025-12-23","中长期","PDF","66","已入库","无需重复入库","https://hdj.nea.gov.cn/dtyw/tzgg/202512/P020251223588968488157.pdf","https://hdj.nea.gov.cn/dtyw/tzgg/index_6.html"
"20260427_185749","CAND-054169DB650B","SRC-R-002","区域监管","华中区域","国家能源局华中监管局-通知公告","国家能源局派出机构","华中能源监管局关于印发《华中区域（东四省）电力互济交易实施细则》的通知 2026-01-30","2026-01-30","实施细则","HTML","66","已入库","无需重复入库","https://hzj.nea.gov.cn/dtyw/tzgg/202601/t20260130_295027.html","https://hzj.nea.gov.cn/dtyw/tzgg/index_1.html"
