地区编号,行政层级,地区名称,所属区域,来源组合模板,建议主责来源,辅助来源,交易与监管来源,当前建设阶段,备注
REG-P-001,省级,河北,华北,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,河北省发展改革委/能源主管部门,河北省工业和信息化厅,华北能源监管局/北京电力交易中心,待展开,省级模板
REG-P-002,省级,山西,华北,省发改委+省能源局+省工信厅+监管机构+交易中心,山西省发展改革委/山西省能源局,山西省工业和信息化厅,山西能源监管办公室/省级交易中心,已细化第一批,已补发改委 能源局 工信厅 科技厅入口 监管与交易来源后续补强
REG-P-003,省级,辽宁,东北,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,辽宁省发展改革委/能源主管部门,辽宁省工业和信息化厅,东北能源监管局/北京电力交易中心,待展开,省级模板
REG-P-004,省级,吉林,东北,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,吉林省发展改革委/能源主管部门,吉林省工业和信息化厅,东北能源监管局/北京电力交易中心,待展开,省级模板
REG-P-005,省级,黑龙江,东北,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,黑龙江省发展改革委/能源主管部门,黑龙江省工业和信息化厅,东北能源监管局/北京电力交易中心,待展开,省级模板
REG-P-006,省级,江苏,华东,省发改委+省能源局+省工信厅+监管机构+交易中心,江苏省发展改革委/江苏省能源局,江苏省工业和信息化厅,华东能源监管局/省级或区域交易中心,已细化第一批,已补发改委 工信厅 科技厅具体入口 能源与交易监管后续补
REG-P-007,省级,浙江,华东,省发改委+省能源局+省经信部门+监管机构+交易中心,浙江省发展改革委/浙江省能源局,浙江省经信部门,华东能源监管局/省级或区域交易中心,已细化第一批,已补发改委 经信厅 科技厅具体入口 能源与交易监管后续补
REG-P-008,省级,安徽,华东,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,安徽省发展改革委/能源主管部门,安徽省工业和信息化厅,华东能源监管局/省级或区域交易中心,待展开,省级模板
REG-P-009,省级,福建,华东,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,福建省发展改革委/能源主管部门,福建省工业和信息化厅,华东能源监管局/省级或区域交易中心,待展开,省级模板
REG-P-010,省级,江西,华东,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,江西省发展改革委/能源主管部门,江西省工业和信息化厅,华中能源监管局/省级或区域交易中心,待展开,省级模板
REG-P-011,省级,山东,华东,省发改委+省能源局+省工信厅+监管机构+交易中心,山东省发展改革委/山东省能源局,山东省工业和信息化厅,山东能源监管办公室/省级交易中心,已细化第一批,现货重点省份 已补发改委 能源局 工信厅与监管来源
REG-P-012,省级,河南,华中,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,河南省发展改革委/能源主管部门,河南省工业和信息化厅,华中能源监管局/省级交易中心,待展开,省级模板
REG-P-013,省级,湖北,华中,省发改委+省能源局+省经信部门+监管机构+交易中心,湖北省发展改革委/湖北省能源局,湖北省经信部门,华中能源监管局/省级交易中心,已细化第一批,已补发改委 能源局 经信厅 科技厅入口 其中科技厅为可自动抓取JSON来源
REG-P-014,省级,湖南,华中,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,湖南省发展改革委/能源主管部门,湖南省工业和信息化厅,华中能源监管局/省级交易中心,待展开,省级模板
REG-P-015,省级,广东,华南,省发改委+省能源局+省工信厅+监管机构+交易中心,广东省发展改革委/广东省能源局,广东省工业和信息化厅,南方能源监管局/广州电力交易中心,已部分展开,重点省份 已有多条具体来源
REG-P-016,省级,海南,华南,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,海南省发展改革委/能源主管部门,海南省工业和信息化厅,南方能源监管局/广州电力交易中心,待展开,省级模板
REG-P-017,省级,四川,西南,省发改委+省能源局+省经信部门+监管机构+交易中心,四川省发展改革委/四川省能源局,四川省经信部门,四川能源监管办公室/省级交易中心,已细化第一批,已补发改委 经信厅 科技厅具体入口 能源与交易监管后续补
REG-P-018,省级,贵州,西南,省发改委+省能源局+省工信厅+监管机构+交易中心,贵州省发展改革委/贵州省能源局,贵州省工业和信息化厅,贵州能源监管办公室/省级交易中心,待展开,南方区域重点省份
