区域,政策数量,政策工具,适用主体,市场环节,价格机制,交易品种,规划场景,风险约束
全国,51,信息披露(51);市场机制(50);命令控制(48);监管执法(46);技术标准(39);财政金融(37),电网企业(45);电力用户(41);发电企业(33);储能企业(27);交易机构(26);新能源企业(23),输配电(49);调度运行(48);发电(46);用电(41);现货市场(40);辅助服务(36),输配电价(27);市场形成价格(22);容量价格(20);分时电价(17);偏差价格(16);辅助服务价格(14),跨省跨区交易(33);辅助服务交易(26);中长期交易(21);现货交易(17);容量交易(12);绿电交易(10),储能(27);新型电力系统(23);电网规划(19);虚拟电厂(17);源网荷储(15);微电网(12),合规监管风险(47);并网消纳风险(28);偏差风险(21);价格波动(19);政策状态风险(15)
山东,48,命令控制(48);信息披露(48);监管执法(48);市场机制(45);技术标准(27);财政金融(25),交易机构(35);发电企业(34);电力用户(32);电网企业(27);售电公司(25);新能源企业(20),发电(41);用电(36);调度运行(34);现货市场(34);输配电(30);辅助服务(29),偏差价格(26);市场形成价格(19);输配电价(18);上网电价(12);辅助服务价格(12);分时电价(10),辅助服务交易(26);中长期交易(23);现货交易(18);跨省跨区交易(18);需求响应(8);容量交易(7),储能(17);电网规划(14);虚拟电厂(10);新型电力系统(7);微电网(7);分布式光伏(7),合规监管风险(48);政策状态风险(36);偏差风险(29);并网消纳风险(28);价格波动(20)
南方区域,44,命令控制(44);信息披露(44);监管执法(44);市场机制(37);技术标准(35);财政金融(32),电网企业(38);交易机构(36);发电企业(33);储能企业(31);电力用户(28);新能源企业(28),发电(40);输配电(40);调度运行(40);现货市场(38);售电(35);辅助服务(35),输配电价(21);市场形成价格(21);偏差价格(21);上网电价(11);容量价格(9);辅助服务价格(9),辅助服务交易(31);中长期交易(26);跨省跨区交易(26);绿电交易(22);现货交易(22);需求响应(15),储能(31);虚拟电厂(21);电网规划(21);新型电力系统(13);分布式光伏(5);微电网(3),合规监管风险(44);并网消纳风险(36);政策状态风险(25);偏差风险(23);价格波动(20)
华中区域,41,命令控制(41);财政金融(41);信息披露(41);监管执法(41);市场机制(39);技术标准(39),发电企业(41);电力用户(40);电网企业(38);新能源企业(38);储能企业(38);交易机构(37),发电(41);输配电(41);用电(40);调度运行(40);辅助服务(40);现货市场(39),偏差价格(39);市场形成价格(36);上网电价(24);输配电价(24);辅助服务价格(23);分时电价(22),辅助服务交易(36);跨省跨区交易(33);中长期交易(29);现货交易(25);需求响应(22);绿电交易(16),储能(38);虚拟电厂(25);电网规划(22);源网荷储(15);微电网(8);新型电力系统(7),合规监管风险(41);偏差风险(39);并网消纳风险(39);价格波动(35);政策状态风险(33)
四川,28,信息披露(28);命令控制(24);市场机制(24);监管执法(24);技术标准(21);财政金融(20),电网企业(24);交易机构(19);电力用户(18);发电企业(17);储能企业(17);新能源企业(15),输配电(26);调度运行(26);现货市场(23);用电(21);发电(20);辅助服务(17),偏差价格(13);上网电价(12);分时电价(12);市场形成价格(12);输配电价(9);辅助服务价格(9),辅助服务交易(15);中长期交易(13);跨省跨区交易(11);现货交易(9);需求响应(5);绿电交易(4),储能(17);电网规划(11);虚拟电厂(9);新型电力系统(8);分布式光伏(3);源网荷储(3),合规监管风险(27);并网消纳风险(20);政策状态风险(17);偏差风险(14);价格波动(8)
新疆,28,命令控制(28);市场机制(28);信息披露(28);监管执法(28);财政金融(23);技术标准(14),交易机构(26);发电企业(24);电网企业(23);电力用户(17);售电公司(14);新能源企业(13),发电(26);辅助服务(25);输配电(24);调度运行(24);用电(17);中长期市场(16),市场形成价格(13);偏差价格(11);输配电价(10);上网电价(8);分时电价(5);辅助服务价格(5),中长期交易(15);辅助服务交易(13);跨省跨区交易(11);现货交易(7);需求响应(3);容量交易(3),电网规划(10);储能(8);微电网(4);虚拟电厂(4);源网荷储(2);新型电力系统(1),合规监管风险(28);并网消纳风险(21);政策状态风险(16);偏差风险(14);价格波动(12)
华北区域,26,命令控制(26);信息披露(26);监管执法(26);市场机制(18);财政金融(16);技术标准(14),发电企业(23);电网企业(17);新能源企业(17);电力用户(16);交易机构(10);售电公司(5),输配电(25);发电(24);调度运行(23);现货市场(22);辅助服务(21);用电(16),市场形成价格(15);偏差价格(14);输配电价(7);辅助服务价格(6);分时电价(6);上网电价(5),辅助服务交易(21);中长期交易(9);现货交易(8);跨省跨区交易(7);容量交易(3);绿电交易(3),源网荷储(4);储能(4);新型电力系统(2);虚拟电厂(2);电网规划(1),合规监管风险(26);并网消纳风险(20);政策状态风险(20);价格波动(15);偏差风险(14)
西北区域,21,命令控制(21);信息披露(21);监管执法(21);市场机制(20);技术标准(16);财政金融(15),发电企业(21);电网企业(20);储能企业(18);交易机构(18);电力用户(15);新能源企业(12),发电(21);输配电(21);调度运行(20);现货市场(19);用电(18);辅助服务(16),市场形成价格(15);偏差价格(15);输配电价(12);分时电价(9);辅助服务价格(8);上网电价(7),跨省跨区交易(19);中长期交易(14);辅助服务交易(14);现货交易(11);需求响应(8);绿电交易(6),储能(18);虚拟电厂(11);电网规划(7);新型电力系统(4);分布式光伏(2);源网荷储(2),合规监管风险(21);并网消纳风险(18);偏差风险(17);政策状态风险(13);价格波动(10)
浙江,20,命令控制(20);监管执法(20);市场机制(18);规划引导(16);信息披露(16);财政金融(14),发电企业(20);交易机构(16);储能企业(12);新能源企业(11);电网企业(10);售电公司(10),发电(20);调度运行(20);输配电(18);辅助服务(13);售电(10);用电(10),输配电价(6);市场形成价格(6);分时电价(5);辅助服务价格(5);偏差价格(5);上网电价(3),跨省跨区交易(14);中长期交易(7);辅助服务交易(5);绿电交易(4);需求响应(3);现货交易(2),储能(12);电网规划(5);新型电力系统(4);虚拟电厂(2);源网荷储(2);微电网(1),合规监管风险(20);并网消纳风险(14);偏差风险(5);政策状态风险(4);价格波动(2)
山西,17,信息披露(17);命令控制(16);市场机制(16);监管执法(14);规划引导(12);技术标准(12),储能企业(15);新能源企业(14);电力用户(14);微电网主体(13);电网企业(12);发电企业(11),发电(16);输配电(14);调度运行(14);用电(13);绿电绿证(12);售电(10),输配电价(8);偏差价格(5);分时电价(4);市场形成价格(4);容量价格(4);上网电价(1),绿电交易(9);辅助服务交易(8);跨省跨区交易(8);中长期交易(5);现货交易(5);容量交易(4),储能(15);源网荷储(11);虚拟电厂(10);电网规划(6);新型电力系统(5);微电网(4),合规监管风险(14);并网消纳风险(13);偏差风险(7);政策状态风险(6);价格波动(5)
