资料编号,文件标题,发布日期,文号,适用地区,来源类型,有效状态,质量状态,政策工具,约束机制,激励机制,适用主体,市场环节,价格机制,交易品种,结算机制,考核机制,低碳目标,规划场景,投资影响,商业模式影响,风险约束,证据摘录,抽取方法,人工复核状态,更新时间
AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,国能发监管规〔2024〕76号,全国,官方政策,现行有效,机器抽取,命令控制;市场机制;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束,,电网企业;发电企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场,,需求响应,分摊机制,信用评价;信息披露考核,,微电网;储能;电网规划;虚拟电厂,收益机制明确;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益;园区微电网,并网消纳风险;合规监管风险,"国家能源局关于印发《电力市场注册基本规则》的通知 国家能源局 国家能源局 全国 官方政策 电力市场; | 经营主体 国家能源局电力市场注册基本规则 国家能源局关于印发《电力市场注册基本规则》的通知 国家能源局关于印发《电力市场注册基本规则》的通知-国家能源局网站 > 正文 目录项的基本信息 公开事项名称: 国家能源局关于印发《电力市场注册基本规则》的通知 索引号: 000019705/2024-00241 国家能源局 制发日期: 2024-09-13 电力,市场 | 2024年9月13日 第一条 电力市场注册基本规则 第一章 总则 第一条 为贯彻落实党中央、国务院进一步深化电力体制改革、加快建设全国统一大市场的有关精神，统一电力市场注册机制，加强和规范电力市场注册工作，维护电力市场秩序和各类经营主体合法权益，根据《中共中央 国务院关于进一步深化电力体制改革的若干意见》《国家发展改革委 国家能源局关于加快建设全国统一电力市",规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,2022-01-30,,全国,官方政策,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,输配电价;分时电价;市场形成价格;容量价格,中长期交易;现货交易;绿电交易;辅助服务交易;容量交易;需求响应;跨省跨区交易,电费结算;分摊机制,信用评价;信息披露考核,双碳目标;绿色低碳;新能源消纳;能源安全,新型电力系统;源网荷储;微电网;储能;电网规划;分布式光伏;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,自发自用余电上网;聚合交易;绿电消费;辅助服务收益;园区微电网,并网消纳风险;合规监管风险,统一交易规则 加快建设全国统一电力市场体系指导意见 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见_国务院部门文件_中国政府网 个人中心 无障碍 https://www.gov.cn/ 国务院政策文件库 国务院部门文件 字号： 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 发文机关： 发展改革委 能源局 发文字号 | 同时，电力市场还存在体系不完整、功能不完善、交易规则不统一、跨省跨区交易存在市场壁垒等问题。 | 为加快建设全国统一电力市场体系，实现电力资源在更大范围内共享互济和优化配置，提升电力系统稳定性和灵活调节能力，推动形成适合中国国情、有更强新能源消纳能力的新型电力系统，经国务院同意，现提出以下意见。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,国家发展改革委令第20号,全国,官方政策,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;试点示范,电网企业;发电企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场,输配电价;容量价格,中长期交易;现货交易;辅助服务交易;容量交易;需求响应,电费结算;分摊机制,信息披露考核,,新型电力系统;储能;电网规划;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益,价格波动;并网消纳风险;政策状态风险;合规监管风险,电力市场运行基本规则_国家发展和改革委员会 国家发展改革委 中国政府网 全国 官方政策 电力市场 电力市场运行基本规则; | 交易 电力市场运行基本规则 电力市场运行基本规则__中国政府网 电力市场运行基本规则_国家发展和改革委员会_中国政府网 电力市场运行基本规则__中国政府网 个人中心 无障碍 https://www.gov.cn/ 来源： 发展改革委网站 【字体： 视频下载 第一章 总 则 电力市场运行基本规则 (2024年4月18日经国家发展改革委第11次委务会通过 202 | 第三条 国家能源局及其派出机构（以下简称电力监管机构）、国务院有关部门根据职能对电力市场实施监督管理。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),2026-04-24,发改办体改〔2026〕275号,全国,官方政策,现行有效,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,绿色激励;试点示范,电网企业;发电企业;新能源企业;售电公司;电力用户;交易机构,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,输配电价;市场形成价格;偏差价格,现货交易;跨省跨区交易,电费结算;偏差结算;分摊机制,信息披露考核,双碳目标,新型电力系统;电网规划,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,辅助服务收益,价格波动;偏差风险;并网消纳风险;合规监管风险,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) 国家发展改革委 国家发展改革委 全国 官方政策 电力市场; | 省间 修订省间电力现货交易规则复函 关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) 【关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号)】-国家发展和改革委员会 政务公开 关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) 发布时间：2026/04/24 来源： 体改司 [ 打印 ] 国家发展改革委办 | 一、原则同意修订后的《省间电力现货交易规则》，请你公司会同有关方面按照修订后的规则，认真组织实施省间电力现货交易，切实发挥省间现货交易促进更大范围资源配置、余缺互济的作用。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,2026-04-09,,华中区域,监管规则,现行有效,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,上网电价;输配电价;分时电价;市场形成价格;容量价格;辅助服务价格;偏差价格,中长期交易;绿电交易;需求响应;跨省跨区交易,电费结算;偏差结算;辅助服务结算;分摊机制;周期结算,运行考核;偏差考核;信息披露考核,新能源消纳;能源安全,源网荷储;微电网;储能;电网规划;分布式光伏;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,自发自用余电上网;聚合交易;绿电消费;辅助服务收益;园区微电网,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 国家能源局华中监管局 国家能源局华中监管局 华中区域 监管规则 中长期; | 实施细则 华中区域省间电力中长期市场实施细则 国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2026-04-09 09:32 来源：国家能源局 字体： 华中监能市场规〔 2026 | 华中区域省间电力中长期市场实施细则.pdf 请电力交易机构加强对经营主体的宣贯培训、信息披露、风险防控等相关工作。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-663B4D5B07,关于印发《湖北省电力中长期市场实施细则》的通知,2026-04-14,,湖北,监管规则,现行有效,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,输配电价;分时电价;市场形成价格;偏差价格,中长期交易;现货交易;绿电交易;辅助服务交易;需求响应;跨省跨区交易,电费结算;偏差结算;分摊机制;周期结算,运行考核;偏差考核;信息披露考核,新能源消纳,源网荷储;微电网;储能;电网规划;分布式光伏;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,自发自用余电上网;聚合交易;绿电消费;辅助服务收益;园区微电网,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,关于印发《湖北省电力中长期市场实施细则》的通知 国家能源局华中监管局 国家能源局华中监管局 湖北 监管规则 中长期 中长期; | 实施细则 湖北省电力中长期市场实施细则 关于印发《湖北省电力中长期市场实施细则》的通知 关于印发《湖北省电力中长期市场实施细则》的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2026-04-14 14:42 来源：国家能源局华中监管局 字体： 华中监能市场规 2026 国网华中分部，国网湖北省电力有限公司，湖北电力交 | 请电力交易机构加强对经营主体的宣贯培训、信息披露、风险防控等相关工作。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-674A18FA03,关于印发《山东电力市场规则(试行)》的通知,2025-12-17,鲁监能市场规〔2025〕57号,山东,监管规则,现行有效,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,上网电价;输配电价;市场形成价格;容量价格;偏差价格,中长期交易;现货交易;绿电交易;辅助服务交易;容量交易;需求响应;跨省跨区交易,电费结算;分摊机制,信用评价;信息披露考核,,新型电力系统;源网荷储;微电网;储能;电网规划;分布式光伏;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,自发自用余电上网;聚合交易;绿电消费;辅助服务收益;园区微电网,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,关于印发《山东电力市场规则(试行)》的通知 国家能源局山东监管办公室 国家能源局山东监管办公室 山东 监管规则 电力市场 电力市场; | 试行 山东电力市场规则试行版 关于印发《山东电力市场规则(试行)》的通知 关于印发《山东电力市场规则(试行)》的通知_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 关于印发《山东电力市场规则(试行)》的通知 2025-12-17 18:46 来源：国家能源局山东监管办公室 字体： 鲁监能市场规〔20 | 二、扶贫发电项目(扶贫容量部分)暂不参与优发超出优购曲线匹配偏差费用分摊，后续根据国家和省有关政策实施。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-08F5111897,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知,2026-01-06,鲁监能市场规〔2025〕63号,山东,监管规则,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;试点示范,电网企业;发电企业;新能源企业;储能企业;电力用户;交易机构;虚拟电厂,发电;输配电;用电;调度运行;辅助服务;现货市场,偏差价格,现货交易;辅助服务交易;需求响应;跨省跨区交易,偏差结算;辅助服务结算;分摊机制,运行考核;偏差考核;信息披露考核,,新型电力系统;储能;电网规划;分布式光伏;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,自发自用余电上网;聚合交易;辅助服务收益,偏差风险;并网消纳风险;合规监管风险,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知 国家能源局山东监管办公室 国家能源局山东监管办公室 山东 监管规则 辅助服务; | 实施细则 山东省电力并网运行与辅助服务管理实施细则修订稿 关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知 2026 | 虚拟电厂和10千伏分布式电站等新纳入并网运行考核管理的并网主体相关条款、新能源发电功率日内预测偏差考核相关条款按 一、新版“细则”自2026年1月1日起正式施行。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260424-E89DAD0775,南方区域电力市场中长期电能量交易实施细则等5项实施细则,2025-06-22,,南方区域,交易规则,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,上网电价;输配电价;市场形成价格;偏差价格,中长期交易;绿电交易;辅助服务交易;需求响应;跨省跨区交易,电费结算;分摊机制,信息披露考核,能源安全,储能;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;绿电消费;辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,南方区域电力市场中长期电能量交易实施细则等5项实施细则 广州电力交易中心 广州电力交易中心 南方区域 交易规则 电力市场; | 实施细则 南方区域电力市场中长期电能量交易实施细则等5项实施细则； | OCR文本待人工复核 广州电力交易中心 交易服务热线: 400-15-95598 能源监管热线: 12398 微 信 平台系统 南方区域统一电力交易平台 南方区域现货电能量交易系统 南方区域绿色电力交易系统 新闻资讯 党的声音 公司动态 媒体关注 市场研究 信息发布 最新通知 公示公告 市场服务 市场培训 服务承诺 常见问题解答 政策法规 法律法规 政策文件,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),2025-04-29,发改能源规〔2025〕411号,全国,官方政策,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场,输配电价;分时电价;市场形成价格;辅助服务价格;偏差价格,辅助服务交易;跨省跨区交易,电费结算;辅助服务结算;分摊机制;周期结算,信息披露考核,,新型电力系统;微电网;储能;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益;园区微电网,价格波动;偏差风险;政策状态风险;合规监管风险,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号) 国家发展改革委; | 国家能源局 国家发展改革委 全国 官方政策 辅助服务; | 电力市场 电力辅助服务市场基本规则;,规则词典_v1,待人工复核,2026-05-05 01:24:21
