评测编号,问题,标准依据文件,Top1资料编号,Top1标题,Top1得分,Top1命中,Top3标题,Top3命中,Top5标题,Top5命中,命中排名,标准文件是否已入库,说明
Q-001,全国统一电力市场体系建设的主要目标是什么,关于加快建设全国统一电力市场体系的指导意见,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,55.00,是,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号),是,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号) | 关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号) | 国家能源局关于印发《电力市场注册基本规则》的通知,是,1,是,
Q-002,电力市场注册基本规则对经营主体注册提出了哪些要求,电力市场注册基本规则,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,73.00,是,国家能源局关于印发《电力市场注册基本规则》的通知 | 电力市场注册基本规则 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),是,国家能源局关于印发《电力市场注册基本规则》的通知 | 电力市场注册基本规则 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号),是,1,是,
Q-003,电力市场运行基本规则中市场成员包括哪些类型,电力市场运行基本规则,AUTO-20260427-780DD684D9,电力市场运行基本规则,54.00,是,电力市场运行基本规则 | 电力市场运行基本规则_国家发展和改革委员会 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),是,电力市场运行基本规则 | 电力市场运行基本规则_国家发展和改革委员会 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则）,是,1,是,
Q-004,省间电力现货交易规则修订主要涉及哪些内容,关于修订省间电力现货交易规则的复函,AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),85.00,是,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,是,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于印发《电力现货连续运行地区市场建设指引》的通知(发改能源〔2025〕1171号) | 关于全面加快电力现货市场建设工作的通知(发改办体改〔2025〕394号),是,1,是,
Q-005,华中区域省间电力中长期市场实施细则适用于哪些交易范围,华中区域省间电力中长期市场实施细则,AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,77.00,是,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 | 关于公开征求《华中区域省间电力中长期交易实施细则（征求意见稿）》意见的通知 | 国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知,是,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 | 关于公开征求《华中区域省间电力中长期交易实施细则（征求意见稿）》意见的通知 | 国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知 | 关于印发《重庆市电力中长期市场实施细则》的通知 | 关于印发《西藏自治区电力中长期市场实施细则》的通知,是,1,是,
Q-006,湖北省电力中长期市场实施细则规定了哪些主要交易类型,湖北省电力中长期市场实施细则,AUTO-20260424-663B4D5B07,关于印发《湖北省电力中长期市场实施细则》的通知,71.00,是,关于印发《湖北省电力中长期市场实施细则》的通知 | 国家能源局华中监管局 湖北省能源局 关于印发《湖北省电力中长期交易实施 细则》的通知 | 关于公开征求《湖北省电力中长期市场实施细则（征求意见稿）》意见的通知,是,关于印发《湖北省电力中长期市场实施细则》的通知 | 国家能源局华中监管局 湖北省能源局 关于印发《湖北省电力中长期交易实施 细则》的通知 | 关于公开征求《湖北省电力中长期市场实施细则（征求意见稿）》意见的通知 | 国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 | 关于印发《重庆市电力中长期市场实施细则》的通知,是,1,是,
Q-007,山东电力市场规则试行文件中中长期和现货如何衔接,山东电力市场规则(试行),AUTO-20260424-674A18FA03,关于印发《山东电力市场规则(试行)》的通知,57.00,是,关于印发《山东电力市场规则(试行)》的通知 | 《山东电力市场规则(试行)》编制说明 | 关于印发《山东电力市场规则(试行)》的通知,是,关于印发《山东电力市场规则(试行)》的通知 | 《山东电力市场规则(试行)》编制说明 | 关于印发《山东电力市场规则(试行)》的通知 | 关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 | 关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,是,1,是,
Q-008,山东并网运行和辅助服务管理实施细则涉及哪些主体和费用机制,山东省电力并网运行管理实施细则;山东省电力辅助服务管理实施细则,AUTO-20260424-08F5111897,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知,41.00,是,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知 | 关于印发《山东省电力并网运行管理实施细则》、《山东省电力辅助服务管理实施细则》的通知 | 关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施细则(征求意见稿)》意见的通知,是,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知 | 关于印发《山东省电力并网运行管理实施细则》、《山东省电力辅助服务管理实施细则》的通知 | 关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施细则(征求意见稿)》意见的通知 | 关于印发《山东电力爬坡辅助服务市场交易规则(试行)》的通知 | 关于修订《山东电力辅助服务市场运营规则（试行）（2020年修订版）》的通知,是,1,是,
Q-009,南方区域中长期电能量交易实施细则规定的交易组织方式有哪些,南方区域电力市场中长期电能量交易实施细则,AUTO-20260424-E89DAD0775,南方区域电力市场中长期电能量交易实施细则等5项实施细则,46.50,是,南方区域电力市场中长期电能量交易实施细则等5项实施细则 | 关于审定广西电力市场中长期电能量交易等实施细则的复函 | 关于印发《南方区域跨区跨省电力中长期交易规则》的通知,是,南方区域电力市场中长期电能量交易实施细则等5项实施细则 | 关于审定广西电力市场中长期电能量交易等实施细则的复函 | 关于印发《南方区域跨区跨省电力中长期交易规则》的通知 | 关于加强辖区中长期批发交易合同签约履约监管的通知 | 国家能源局南方监管局广西壮族自治区工业和信息化厅关于《印发广西电力中长期交易规则》的通知,是,1,是,
Q-010,辅助服务市场基本规则对辅助服务品种和结算提出了哪些要求,电力辅助服务市场基本规则,AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),43.00,是,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号) | 关于印发《电力辅助服务市场基本规则》的通知 | 关于建立健全电力辅助服务市场价格机制的通知(发改价格〔2024〕196号),是,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号) | 关于印发《电力辅助服务市场基本规则》的通知 | 关于建立健全电力辅助服务市场价格机制的通知(发改价格〔2024〕196号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 印发《关于加快储气设施建设和完善储气调峰辅助服务市场机制的意见》的通知(发改能源规〔2018〕637号),是,1,是,
Q-011,广东电力现货市场相关规则有哪些可作为正式依据,广东电力市场规则,AUTO-20260502-E3C5794853,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知,39.50,是,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 | 跨省跨区送电参与南方（以广东起步）现货市场偏差处理办法解读 | 南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系,是,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 | 跨省跨区送电参与南方（以广东起步）现货市场偏差处理办法解读 | 南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系 | 发改能源规〔2023〕1217号 《电力现货市场基本规则（试行）》 | 关于发布广东电力市场配套实施细则（2024年修订）的通知,是,1,是,
