年份,主题,政策数量,主要政策工具,政策强度分
2012,发电,1,命令控制(1);规划引导(1);财政金融(1);技术标准(1);信息披露(1),7
2012,售电,1,命令控制(1);规划引导(1);财政金融(1);技术标准(1);信息披露(1),7
2012,用电,1,命令控制(1);规划引导(1);财政金融(1);技术标准(1);信息披露(1),7
2012,输配电,1,命令控制(1);规划引导(1);财政金融(1);技术标准(1);信息披露(1),7
2013,发电,1,命令控制(1);财政金融(1);信息披露(1);监管执法(1),5
2013,辅助服务,1,命令控制(1);财政金融(1);信息披露(1);监管执法(1),5
2013,输配电,1,命令控制(1);财政金融(1);信息披露(1);监管执法(1),5
2014,发电,2,命令控制(2);信息披露(2);监管执法(2);市场机制(1),9
2014,用电,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2014,输配电,1,命令控制(1);信息披露(1);监管执法(1),4
2015,发电,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2015,用电,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2016,综合,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2017,中长期市场,2,命令控制(2);市场机制(2);信息披露(2);监管执法(2),10
2017,储能,2,命令控制(2);市场机制(2);规划引导(2);财政金融(2);技术标准(2),16
2017,发电,7,命令控制(7);市场机制(7);信息披露(7);监管执法(7);财政金融(4),46
2017,售电,6,命令控制(6);市场机制(6);信息披露(6);监管执法(6);规划引导(3),39
2017,现货市场,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2017,用电,5,命令控制(5);市场机制(5);信息披露(5);监管执法(5);财政金融(2),30
2017,调度运行,1,命令控制(1);市场机制(1);财政金融(1);技术标准(1);信息披露(1),7
2017,输配电,5,命令控制(5);市场机制(5);信息披露(5);监管执法(5);财政金融(4),36
2018,中长期市场,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2018,储能,3,命令控制(3);市场机制(3);财政金融(3);技术标准(3);信息披露(3),23
2018,发电,12,命令控制(12);信息披露(12);监管执法(12);市场机制(11);财政金融(9),83
2018,售电,4,命令控制(4);市场机制(4);信息披露(4);监管执法(4);规划引导(3),28
2018,源网荷储,4,命令控制(4);市场机制(4);财政金融(4);技术标准(4);信息披露(4),31
2018,现货市场,3,命令控制(3);市场机制(3);信息披露(3);监管执法(3);规划引导(2),20
2018,用电,8,命令控制(8);市场机制(8);信息披露(8);监管执法(8);规划引导(3),49
2018,电网规划,5,命令控制(5);市场机制(5);财政金融(5);技术标准(5);信息披露(5),39
2018,调度运行,6,命令控制(6);信息披露(6);监管执法(6);市场机制(5);规划引导(3),38
2018,辅助服务,2,命令控制(2);市场机制(2);财政金融(2);信息披露(2);监管执法(2),14
2018,输配电,11,命令控制(11);信息披露(11);监管执法(11);市场机制(10);规划引导(8),77
2019,中长期市场,3,命令控制(3);市场机制(3);信息披露(3);监管执法(3);规划引导(1),16
2019,储能,4,命令控制(4);市场机制(4);信息披露(4);监管执法(4);规划引导(3),29
2019,发电,21,命令控制(21);信息披露(21);监管执法(21);市场机制(18);财政金融(15),138
2019,售电,6,命令控制(6);市场机制(6);信息披露(6);监管执法(6);规划引导(5),44
2019,微电网,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2019,源网荷储,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2019,现货市场,1,命令控制(1);市场机制(1);规划引导(1);信息披露(1);监管执法(1),6
2019,用电,11,命令控制(11);市场机制(11);信息披露(11);监管执法(11);财政金融(8),73
2019,电网规划,4,命令控制(4);信息披露(4);监管执法(4);市场机制(3);技术标准(3),26
2019,调度运行,9,命令控制(9);信息披露(9);监管执法(9);财政金融(7);市场机制(6),53
2019,辅助服务,6,命令控制(6);信息披露(6);监管执法(6);财政金融(4);市场机制(3),32
2019,输配电,18,命令控制(18);信息披露(18);监管执法(18);市场机制(14);财政金融(13),118
2020,中长期市场,2,命令控制(2);市场机制(2);信息披露(2);监管执法(2);规划引导(1),12
2020,储能,15,命令控制(15);市场机制(15);财政金融(15);技术标准(15);信息披露(15),114
2020,发电,34,命令控制(34);信息披露(34);监管执法(34);市场机制(32);技术标准(31),254
2020,售电,18,命令控制(18);市场机制(18);技术标准(18);信息披露(18);监管执法(18),137
2020,微电网,4,命令控制(4);市场机制(4);规划引导(4);财政金融(4);技术标准(4),32
2020,源网荷储,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2020,现货市场,3,命令控制(3);市场机制(3);信息披露(3);监管执法(3);技术标准(2),18
2020,用电,13,命令控制(13);财政金融(13);信息披露(13);监管执法(13);市场机制(12),97
2020,电网规划,10,命令控制(10);市场机制(10);规划引导(10);技术标准(10);信息披露(10),78
2020,调度运行,5,命令控制(5);信息披露(5);监管执法(5);市场机制(3);技术标准(3),31
2020,辅助服务,1,命令控制(1);信息披露(1);监管执法(1),4
2020,输配电,34,命令控制(34);信息披露(34);监管执法(34);市场机制(33);技术标准(33),256
2021,中长期市场,8,命令控制(8);市场机制(8);信息披露(8);监管执法(8);规划引导(2),42
2021,储能,14,命令控制(14);信息披露(14);监管执法(14);市场机制(13);技术标准(12),103
2021,发电,38,信息披露(38);命令控制(36);监管执法(36);市场机制(33);财政金融(24),247
2021,售电,16,市场机制(16);信息披露(16);命令控制(14);监管执法(14);财政金融(9),100
2021,微电网,2,命令控制(2);市场机制(2);规划引导(2);信息披露(2);监管执法(2),14
2021,新型电力系统,3,命令控制(3);信息披露(3);监管执法(3);市场机制(2);规划引导(1),16
2021,源网荷储,5,命令控制(5);信息披露(5);监管执法(5);市场机制(4);规划引导(4),36
2021,现货市场,5,命令控制(5);信息披露(5);监管执法(5);市场机制(3);财政金融(2),28
2021,用电,16,信息披露(16);市场机制(15);命令控制(14);监管执法(14);财政金融(9),96
2021,电力算力协同,1,命令控制(1);规划引导(1);财政金融(1);技术标准(1);信息披露(1),7
2021,电网规划,15,命令控制(15);信息披露(15);监管执法(15);市场机制(14);财政金融(14),113
