资料编号,文件标题,质量状态,状态原因,是否可引用,缺失字段,人工复核状态,更新时间
AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-663B4D5B07,关于印发《湖北省电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-674A18FA03,关于印发《山东电力市场规则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-08F5111897,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260424-E89DAD0775,南方区域电力市场中长期电能量交易实施细则等5项实施细则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-D49D5FABE6,关于印发《重庆市电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-712572408D,关于印发《西藏自治区电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-A74926FCBF,关于印发《江西省电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-9A3E9D6FC0,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-01719E4565,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-D5F253F0B2,关于印发重庆市支持智能网联新能源商用产业发展政策措施（2025—2027年）的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-509BB407AE,关于下达天津市2023-2024年度电力需求响应资金计划的通知_委局文件_政务公开,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-474CF655D0,关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-3D4A64C4C0,关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施细则(征求意见稿)》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-2B6F6F94C5,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-0746AF99FD,关于征求《山东省新能源和新型并网主体涉网安全能力提升工作方案》意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-E98D78E2BB,电力市场信息披露基本规则（国能发监管〔2024〕9号）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-B21BF48126,海南电力市场规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-F965FCA4C5,关于印发《广西电力市场信息披露实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-8808868383,广东电力市场规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-4ECBDBC2ED,天津市深化新能源上网电价市场化改革实施方案,需复核,缺少可引用必备字段,否,发布日期,待人工复核,2026-05-05 01:24:21
AUTO-20260425-53BB03C30D,关于印发《电力辅助服务市场基本规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-921C75C18D,关于我市开展气电价格联动调整有关事项的通知_价格管理,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-3BC0A77C4C,关于我市开展气电价格联动调整有关事项的通知_价格管理,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
