核验编号,资料编号,文件标题,来源名称,来源类型,适用地区,市场主题,核验类型,标题是否准确,发布部门是否准确,发布日期是否准确,地区是否准确,主题标签是否准确,权威等级是否准确,有效状态是否准确,原文链接是否可访问,正文是否完整,附件是否下载,是否重复,新旧版本关系,问题描述,修正建议,核验人,核验日期,核验结论,备注
V-001,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,官方政策,全国,电力市场;中长期;现货;辅助服务,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-002,AUTO-20260424-FD9AA2BEA1,关于加快建设全国统一电力市场体系的指导意见,国家发展改革委;国家能源局,官方政策,全国,电力市场;省间交易,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-003,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则,国家发展改革委,官方政策,全国,电力市场,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-004,AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函,国家发展改革委,官方政策,全国;省间,现货;省间交易,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-005,AUTO-20260424-97CB3F74FC,华中区域省间电力中长期市场实施细则,华中监管局,监管规则,华中区域,中长期;省间交易,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-006,AUTO-20260424-663B4D5B07,湖北省电力中长期市场实施细则,华中监管局,监管规则,湖北,中长期;省内交易,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-007,AUTO-20260424-674A18FA03,山东电力市场规则(试行),山东监管办,监管规则,山东,电力市场;中长期;现货,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-008,AUTO-20260424-08F5111897,山东省电力并网运行管理实施细则和山东省电力辅助服务管理实施细则,山东监管办,监管规则,山东,辅助服务;并网运行,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,
V-009,AUTO-20260424-E89DAD0775,南方区域电力市场中长期电能量交易实施细则等5项实施细则,广州电力交易中心,交易规则,南方区域,中长期;省间交易,元数据核验,,,,,,,,,,,,,,,待填写,,待核验,当前标题抽取可能偏泛，需要重点复核
V-010,AUTO-20260425-54244C417B,【关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号)】-国家发展和改革委员会,国家发展改革委;国家能源局,官方政策,全国,辅助服务;电力市场,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,未生成文本或文本为空,部分本地文件缺失,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,国家发展改革委 国家能源局关于印发《电力辅助服务市场基本规则》的通知
V-011,AUTO-20260425-D49D5FABE6,关于印发《重庆市电力中长期市场实施细则》的通知,国家能源局派出机构,监管规则,华中区域,中长期,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于印发《重庆市电力中长期市场实施细则》的通知 2026-04-14
V-012,AUTO-20260425-712572408D,关于印发《西藏自治区电力中长期市场实施细则》的通知,国家能源局派出机构,监管规则,华中区域,中长期,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于印发《西藏自治区电力中长期市场实施细则》的通知 2026-04-14
V-013,AUTO-20260425-A74926FCBF,关于印发《江西省电力中长期市场实施细则》的通知,国家能源局派出机构,监管规则,华中区域,中长期,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于印发《江西省电力中长期市场实施细则》的通知 2026-04-14
V-014,AUTO-20260425-9A3E9D6FC0,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知_国家能源局山东监管办公室,国家能源局派出机构,监管规则,山东,电力市场,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知 2026-03-27
V-015,AUTO-20260425-01719E4565,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知_国家能源局山东监管办公室,国家能源局派出机构,监管规则,山东,电力市场,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2026-03-17
V-016,AUTO-20260425-D5F253F0B2,重庆市经济和信息化委员会行政规范性文件,重庆市经济和信息化委员会,官方政策,重庆,新能源,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,重庆市经济和信息化委员会 重庆市财政局 中共重庆市委金融委员会办公室 国家金融监督管理总局重庆监管局 重庆市商务委员会关于印发重庆市支持智能网联新能源商用产业发展政策措施（2025—2027年）的通知 (发文字号：渝经信规范〔2025〕13号成文日期 ：2025年12月30日)
V-017,AUTO-20260425-509BB407AE,关于下达天津市2023-2024年度电力需求响应资金计划的通知_委局文件_政务公开,天津市工业和信息化局,官方政策,天津,需求响应,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于下达天津市2023-2024年度电力需求响应资金计划的通知2025-12-11
V-018,AUTO-20260425-474CF655D0,四川省发展和改革委员会,四川省发展和改革委员会,官方政策,四川,新能源,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号)
V-019,AUTO-20260425-3D4A64C4C0,关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施细则(征求意见稿)》意见的通知_国家能源局山东监管办公室,国家能源局派出机构,监管规则,山东,辅助服务,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施... 2025-09-30
V-020,AUTO-20260425-2B6F6F94C5,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知_国家能源局山东监管办公室,国家能源局派出机构,监管规则,山东,电力市场,自动预核验,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,待人工确认,已采集成功，待人工复测,已生成文本，待人工抽查完整性,本地文件存在,标题与备注不完全一致，需核验,待人工确认,,,Codex自动预核验,2026-04-25,待人工确认,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2025-07-29
