复核优先级,复核原因,建议动作,质量分,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,文档类型,原文链接,来源列表页
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于修订印发《上海市售电公司及相关主体准入与退出管理实施细则》的通知,,实施细则,HTML,http://fgw.sh.gov.cn/fgw_ny/20211101/ccbb463fcb0b49fb90ffa5ca823072b1.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_45.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,关于印发《上海市能源电力领域碳达峰实施方案》的通知,,碳达峰,HTML,http://fgw.sh.gov.cn/fgw_ny/20220811/9d34b9bc81a745a8be9c0b4368a70de1.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_28.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,上海,上海市发展和改革委员会-政策文件,上海市发展和改革委员会,市发展改革委 市财政局关于印发《上海市加力支持汽车以旧换新补贴政策实施细则（新能源）》的通知,,实施细则,HTML,http://fgw.sh.gov.cn/fgw_gfxwj/20240923/5f3c00b2ca4548fdb5fc15c450d153fe.html,https://fgw.sh.gov.cn/fgw_zcwjfl/index_12.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,内蒙古自治区,内蒙古自治区能源局-通知公告,内蒙古自治区能源局,内蒙古自治区能源局关于印发《内蒙古自治区关于碳达峰目标下能源保障供应的实施方案》《内蒙古自治区关于完善能源绿色低碳转型体制机制和政策措施的实施意见》的通知,,绿色低碳;碳达峰,HTML,https://nyj.nmg.gov.cn/slh/tz/202209/t20220927_2141981.html,https://nyj.nmg.gov.cn/slh/tz/index_31.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,内蒙古自治区,内蒙古自治区能源局-通知公告,内蒙古自治区能源局,内蒙古自治区能源局关于印发《内蒙古自治区分布式光伏项目开发建设管理实施细则》的通知,,实施细则,HTML,https://nyj.nmg.gov.cn/slh/tz/202506/t20250623_2744160.html,https://nyj.nmg.gov.cn/slh/tz/index_22.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,内蒙古自治区,内蒙古自治区能源局-通知公告,内蒙古自治区能源局,内蒙古自治区能源局关于印发《内蒙古自治区热电联产机组核验实施细则（试行）》的通知,,实施细则,HTML,https://nyj.nmg.gov.cn/slh/tz/202110/t20211013_1902099.html,https://nyj.nmg.gov.cn/slh/tz/index_35.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于修订华北区域发电厂并网运行管理实施细则（2019年修订版）部分... 2021-11-22,2021-11-22,实施细则,HTML,https://hbj.nea.gov.cn/dtyw/tzgg/202309/t20230925_120340.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_23.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于做好电网迎峰度冬期间和今冬明春电力安全生产工作的通知 2018-12-25,2018-12-25,电网;迎峰度冬;电力安全,HTML,https://hbj.nea.gov.cn/dtyw/tzgg/202309/t20230925_120202.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_32.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于印发《华北区域集中式光伏扶贫电站优先调度实施细则（试行）》... 2019-10-22,2019-10-22,实施细则,HTML,https://hbj.nea.gov.cn/dtyw/tzgg/202309/t20230925_120253.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_28.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于印发京津唐电网火电机组供热最小运行方式（2021版）的通知 2021-11-15,2021-11-15,电网,HTML,https://hbj.nea.gov.cn/dtyw/tzgg/202309/t20230925_120336.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_23.html
