抓取日期,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,原文链接,来源列表页
2026-04-24,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《重庆市电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299624.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《西藏自治区电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299625.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《湖北省电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299623.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《江西省电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299627.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 2026-04-09,2026-04-09,中长期;省间,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260409_299361.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知 2026-03-27,2026-03-27,电力市场,https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260327_298703.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2026-03-17,2026-03-17,电力市场,https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260317_298055.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知 2026-01-06,2026-01-06,辅助服务,https://sdb.nea.gov.cn/dtyw/tzgg/202601/t20260106_293691.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-MU-011,直辖市,重庆,重庆市经济和信息化委员会-行政规范性文件,重庆市经济和信息化委员会,重庆市经济和信息化委员会 重庆市财政局 中共重庆市委金融委员会办公室 国家金融监督管理总局重庆监管局 重庆市商务委员会关于印发重庆市支持智能网联新能源商用产业发展政策措施（2025—2027年）的通知 (发文字号：渝经信规范〔2025〕13号成文日期 ：2025年12月30日),2025-12-30,新能源,https://jjxxw.cq.gov.cn/zwgk_213/zcwj/xzgfxwj/202512/t20251230_15280986.html,https://jjxxw.cq.gov.cn/zwgk_213/zcwj/xzgfxwj/
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东电力市场规则(试行)》的通知 2025-12-17,2025-12-17,电力市场,https://sdb.nea.gov.cn/dtyw/tzgg/202512/t20251217_292527.html,https://sdb.nea.gov.cn/dtyw/tzgg/
