生成日期,资料编号,当前标题,建议标题,问题类型,置信度,建议动作,建议来源,发布部门,采集来源机构,发布日期,适用地区,来源类型,市场主题,原文链接,本地文本路径,说明
2026-04-27,AUTO-20260427-3D2FA4A769,关于印发《四川省电力辅助服务管理实施细则》和《四川省电力并网运行管理实施细则... 2026-04-13,关于印发《四川省电力辅助服务管理实施细则》和《四川省电力并网运行管理实施细则...,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局四川监管办公室,国家能源局四川监管办公室,2026-04-13,四川,监管规则,辅助服务,https://scb.nea.gov.cn/dtyw/tzgg/202604/P020260413395067315497.pdf,,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知_国家能源局江苏监管办公室,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2026-03-06,江苏,监管规则,中长期,https://jsb.nea.gov.cn/dtyw/tz/202603/t20260306_297521.html,03_处理后文本\2026-03-06_江苏_国家能源局江苏监管办公室_关于印发《江苏省电力中长期市场实施细则（2026版）》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-175A83DAA9,山西省能源局,关于将山西尚太（四期）、阳曲县绿电园区2个项目纳入省级绿电直连项目清单的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2026-02-13,山西,官方政策,绿电,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202603/t20260305_10073168.shtml,03_处理后文本\2026-02-13_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-D4EAEA6B13,关于征求四川电力中长期市场实施细则有关意见的函_国家能源局四川监管办公室,关于征求四川电力中长期市场实施细则有关意见的函,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局四川监管办公室,国家能源局四川监管办公室,2026-02-11,四川,监管规则,中长期,https://scb.nea.gov.cn/dtyw/tzgg/202602/t20260211_295803.html,03_处理后文本\2026-02-11_四川_国家能源局四川监管办公室_关于征求四川电力中长期市场实施细则有关意见的函_国家能源局四川监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-1188644239,关于印发《江苏电力并网运行管理实施细则》《江苏电力辅助服务管理实施细则》的通知_国家能源局江苏监管办公室,关于印发《江苏电力并网运行管理实施细则》《江苏电力辅助服务管理实施细则》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2025-12-30,江苏,监管规则,辅助服务,https://jsb.nea.gov.cn/dtyw/tz/202512/t20251231_293387.html,03_处理后文本\2025-12-30_江苏_国家能源局江苏监管办公室_关于印发《江苏电力并网运行管理实施细则》《江苏电力辅助服务管理实施细则》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-3CBC11905B,山西省能源局,关于印发《电力市场规则体系（V16.0）》的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2025-12-29,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202601/t20260126_10048484.shtml,03_处理后文本\2025-12-29_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-8B8776AC2F,一、总体要求,关于印发《推动绿电直连项目有序建设实施方案》的通知,标题过短;疑似正文小标题,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2025-12-29,山西,官方政策,绿电,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202601/t20260104_10031488.shtml,03_处理后文本\2025-12-29_山西_山西省能源局_一、总体要求.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-B85C17304B,关于印发《四川电力辅助服务市场交易实施细则》的通知 2025-12-22,关于印发《四川电力辅助服务市场交易实施细则》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局四川监管办公室,国家能源局四川监管办公室,2025-12-22,四川,监管规则,辅助服务,https://scb.nea.gov.cn/dtyw/tzgg/202512/P020251222570561450248.pdf,,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-E623436BEE,浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知_国家能源局浙江监管办公室,浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2025-12-20,浙江,监管规则,电力市场,https://zjb.nea.gov.cn/dtyw/tzgg/202512/t20251220_292821.html,03_处理后文本\2025-12-20_浙江_国家能源局浙江监管办公室_浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知_国家能源局浙江监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-04351EFDD0,关于印发2026年浙江省电力中长期交易合同示范文本的通知_国家能源局浙江监管办公室,关于印发2026年浙江省电力中长期交易合同示范文本的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2025-12-12,浙江,监管规则,中长期,https://zjb.nea.gov.cn/dtyw/tzgg/202512/t20251212_292246.html,03_处理后文本\2025-12-12_浙江_国家能源局浙江监管办公室_关于印发2026年浙江省电力中长期交易合同示范文本的通知_国家能源局浙江监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-87C8FAFF1E,国家能源局福建监管办公室 福建省发展和改革委员会关于印发《福建电力市场规则体系管理办法（试行）》的通知_国家能源局福建监管办公室,国家能源局福建监管办公室 福建省发展和改革委员会关于印发《福建电力市场规则体系管理办法（试行）》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局福建监管办公室,国家能源局福建监管办公室,2025-12-05,福建,监管规则,电力市场,https://fjb.nea.gov.cn/dtyw/tzgg/202512/t20251205_291799.html,03_处理后文本\2025-12-05_福建_国家能源局福建监管办公室_国家能源局福建监管办公室_福建省发展和改革委员会关于印发《福建电力市场规则体系管理办法（试行）》的通知_国家能源局福建监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-F694D4BAAB,关于征求2026年浙江省电力中长期交易合同示范文本意见的函_国家能源局浙江监管办公室,关于征求2026年浙江省电力中长期交易合同示范文本意见的函,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2025-12-01,浙江,监管规则,中长期,https://zjb.nea.gov.cn/dtyw/tzgg/202512/t20251201_291500.html,03_处理后文本\2025-12-01_浙江_国家能源局浙江监管办公室_关于征求2026年浙江省电力中长期交易合同示范文本意见的函_国家能源局浙江监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-AD1ACA65D0,关于公开征求《四川电力市场中长期交易规则（2024年修订版）补充修订条款》意见的通知_国家能源局四川监管办公室,关于公开征求《四川电力市场中长期交易规则（2024年修订版）补充修订条款》意见的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局四川监管办公室,国家能源局四川监管办公室,2025-11-25,四川,监管规则,电力市场;中长期,https://scb.nea.gov.cn/dtyw/tzgg/202511/t20251125_291078.html,03_处理后文本\2025-11-25_四川_国家能源局四川监管办公室_关于公开征求《四川电力市场中长期交易规则（2024年修订版）补充修订条款》意见的通知_国家能源局四川监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-790BD08DF9,山西省能源局,关于印发《绿电园区规划、建设和运营工作指引（2025年）》的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2025-11-10,山西,官方政策,绿电,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202511/t20251113_9995497.shtml,03_处理后文本\2025-11-10_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-9AE8418A06,江苏能源监管办关于公开征求《江苏电力调频辅助服务市场交易规则（征求意见稿）》意见的公告_国家能源局江苏监管办公室,江苏能源监管办关于公开征求《江苏电力调频辅助服务市场交易规则（征求意见稿）》意见的公告,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-公告,2025-10-31,江苏,监管规则,辅助服务,https://jsb.nea.gov.cn/dtyw/gg/202510/t20251031_289741.html,03_处理后文本\2025-10-31_江苏_国家能源局江苏监管办公室_江苏能源监管办关于公开征求《江苏电力调频辅助服务市场交易规则（征求意见稿）》意见的公告_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-7369F01D27,浙江省发展和改革委员会 浙江省能源局 国家能源局浙江监管办公室关于浙江电力现货市场转正式... 2025-08-26,浙江省发展和改革委员会 浙江省能源局 国家能源局浙江监管办公室关于浙江电力现货市场转正式...,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2025-08-26,浙江,监管规则,现货,https://zjb.nea.gov.cn/dtyw/tzgg/202508/P020250826509906214935.pdf,03_处理后文本\2025-08-26_浙江_国家能源局浙江监管办公室_浙江省发展和改革委员会_浙江省能源局_国家能源局浙江监管办公室关于浙江电力现货市场转正式..._2025-08-26.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-0B5231DDC9,关于公开征求《四川电力辅助服务市场交易实施细则（征求意见稿）》意见的通知 2025-08-20,关于公开征求《四川电力辅助服务市场交易实施细则（征求意见稿）》意见的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局四川监管办公室,国家能源局四川监管办公室,2025-08-20,四川,监管规则,辅助服务,https://scb.nea.gov.cn/dtyw/tzgg/202508/P020250820624702758188.pdf,,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-D808C3C69B,浙江能源监管办关于征求《关于做好浙江省长三角“两个细则”结算试运行有关事项的通知（征求意见稿）》意见的函_国家能源局浙江监管办公室,浙江能源监管办关于征求《关于做好浙江省长三角“两个细则”结算试运行有关事项的通知（征求意见稿）》意见的函,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2025-06-30,浙江,监管规则,计量结算,https://zjb.nea.gov.cn/dtyw/tzgg/202506/t20250630_283559.html,03_处理后文本\2025-06-30_浙江_国家能源局浙江监管办公室_浙江能源监管办关于征求《关于做好浙江省长三角“两个细则”结算试运行有关事项的通知（征求意见稿）》意见的函_国家能源局浙江监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-4E8F5E6BB6,山西省能源局,关于印发《分布式光伏发电开发建设管理实施细则（试行）》的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2025-06-24,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/gfxwj/xxyx_82093/202507/t20250702_9896605.shtml,03_处理后文本\2025-06-24_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-9DEF0F2D44,山西省能源局,关于印发《分布式光伏发电开发建设管理实施细则（试行）》的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2025-06-24,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202507/t20250702_9896604.shtml,03_处理后文本\2025-06-24_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-08350D960F,关于进一步做好电力市场信息披露工作的通知_国家能源局江苏监管办公室,关于进一步做好电力市场信息披露工作的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2025-05-23,江苏,监管规则,电力市场,https://jsb.nea.gov.cn/dtyw/tz/202505/t20250523_281496.html,03_处理后文本\2025-05-23_江苏_国家能源局江苏监管办公室_关于进一步做好电力市场信息披露工作的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知 2025-05-08,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局四川监管办公室,国家能源局四川监管办公室,2025-05-08,四川,监管规则,电力市场,https://scb.nea.gov.cn/dtyw/tzgg/202505/P020250508581014736937.pdf,,当前标题可去除网站或栏目后缀等噪声
