评测编号,问题,地区,标准依据文件,置信度,Top3标准文件命中,命中排名,引用字段完整,答案结构完整,标准要点命中率,地区跑偏,返回切片数,返回资料数,重复资料比例,通过,说明
Q-001,全国统一电力市场体系建设的主要目标是什么,全国,关于加快建设全国统一电力市场体系的指导意见,high,是,1,是,是,80%,否,8,4,50%,是,
Q-002,电力市场注册基本规则对经营主体注册提出了哪些要求,全国,电力市场注册基本规则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-003,电力市场运行基本规则中市场成员包括哪些类型,全国,电力市场运行基本规则,medium,是,1,是,是,75%,否,8,4,50%,是,
Q-004,省间电力现货交易规则修订主要涉及哪些内容,全国,关于修订省间电力现货交易规则的复函,high,是,1,是,是,67%,否,8,4,50%,是,
Q-005,华中区域省间电力中长期市场实施细则适用于哪些交易范围,华中区域,华中区域省间电力中长期市场实施细则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-006,湖北省电力中长期市场实施细则规定了哪些主要交易类型,湖北,湖北省电力中长期市场实施细则,high,是,1,是,是,71%,否,8,4,50%,是,
Q-007,山东电力市场规则试行文件中中长期和现货如何衔接,山东,山东电力市场规则(试行),high,是,1,是,是,80%,否,8,4,50%,是,
Q-008,山东并网运行和辅助服务管理实施细则涉及哪些主体和费用机制,山东,山东省电力并网运行管理实施细则;山东省电力辅助服务管理实施细则,high,是,1,是,是,80%,否,6,3,50%,是,
Q-009,南方区域中长期电能量交易实施细则规定的交易组织方式有哪些,南方区域,南方区域电力市场中长期电能量交易实施细则,high,是,1,是,是,67%,否,8,4,50%,是,
Q-010,辅助服务市场基本规则对辅助服务品种和结算提出了哪些要求,全国,电力辅助服务市场基本规则,medium,是,1,是,是,80%,否,8,4,50%,是,
Q-011,广东电力现货市场相关规则有哪些可作为正式依据,广东,广东电力市场规则,medium,是,1,是,是,83%,否,8,4,50%,是,
Q-012,山西电力市场现货和中长期规则有哪些核心文件,山西,电力市场规则体系（V16.0）,high,是,1,是,是,80%,否,8,4,50%,是,
Q-013,省内交易和省间交易在规则来源上通常如何区分,全国,跨省跨区电力应急调度管理办法,medium,否,,是,是,75%,否,8,4,50%,否,Top3未命中标准依据
Q-014,近期十五天内电力市场相关官方政策有哪些,全国,关于修订省间电力现货交易规则的复函,medium,否,,是,是,50%,否,8,4,50%,否,Top3未命中标准依据
Q-015,电力市场信息披露基本规则对披露主体和披露内容有什么要求,全国,电力市场信息披露基本规则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-016,高质量发展相关电网政策应优先引用哪些文件,全国,关于促进电网高质量发展的指导意见,medium,是,1,是,是,75%,否,8,4,50%,是,
Q-017,新型电力系统行动方案的主要政策依据是什么,全国,加快构建新型电力系统行动方案,medium,是,1,是,是,67%,否,8,4,50%,是,
Q-018,四川辅助服务市场交易实施细则应引用哪份正式文件,四川,四川电力辅助服务市场交易实施细则,high,是,1,是,是,75%,否,8,5,38%,是,
Q-019,新能源上网电价市场化改革的国家级依据是什么,全国,关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,high,是,1,是,是,67%,否,8,4,50%,是,
Q-020,输配电价定价办法相关核心文件有哪些,全国,省级电网输配电价定价办法,medium,是,1,是,是,75%,否,8,4,50%,是,
Q-021,电网规划投资管理应引用哪个国家级文件,全国,关于加强和规范电网规划投资管理工作的通知,high,是,1,是,是,50%,否,8,4,50%,是,
Q-022,源网荷储一体化政策应优先查哪份指导意见,全国,关于推进电力源网荷储一体化和多能互补发展的指导意见,medium,是,1,是,是,75%,否,8,4,50%,是,
Q-023,浙江电力现货市场正式规则应引用哪份文件,浙江,浙江电力现货市场规则,medium,是,1,是,是,75%,否,8,4,50%,是,
Q-024,浙江电力中长期交易合同示范文本如何检索,浙江,2026年浙江省电力中长期交易合同示范文本,high,是,1,是,是,75%,否,8,4,50%,是,
Q-025,南方区域新能源参与电力市场交易实施方案应如何定位,南方区域,南方区域新能源参与电力市场交易实施方案,high,是,1,是,是,80%,否,8,4,50%,是,
Q-026,西北区域跨省电力中长期交易实施细则有哪些版本,西北区域,西北区域跨省电力中长期交易实施细则,high,是,1,是,是,80%,否,8,4,50%,是,
Q-027,广东虚拟电厂参与电力市场交易应引用哪份实施方案,广东,广东省虚拟电厂参与电力市场交易实施方案,high,是,1,是,是,80%,否,8,4,50%,是,
Q-028,山东电力现货市场转正式运行应检索哪份通知,山东,山东电力现货市场由试运行转正式运行,medium,是,1,是,是,80%,否,8,4,50%,是,
Q-029,电网代理购电政策应优先引用哪些国家文件,全国,关于组织开展电网企业代理购电工作有关事项的通知,medium,否,,是,是,60%,否,8,4,50%,否,Top3未命中标准依据
Q-030,跨电网经营区常态化电力交易机制方案应如何检索,全国,关于跨电网经营区常态化电力交易机制方案的复函,high,是,1,是,是,80%,否,8,4,50%,是,
Q-031,四川电网第三监管周期输配电价文件应引用哪些依据,四川,关于四川电网第三监管周期输配电价及有关事项的通知,high,是,1,是,是,80%,否,8,4,50%,是,
Q-032,上海绿色电力交易实施方案的适用范围和交易安排是什么,上海,上海市绿色电力交易实施方案,high,是,1,是,是,83%,否,8,5,38%,是,
Q-033,广东新型储能参与电力市场交易实施方案规定了哪些参与方式,广东,广东省新型储能参与电力市场交易实施方案,high,是,1,是,是,83%,否,8,4,50%,是,
Q-034,西北区域电力辅助服务管理实施细则应关注哪些品种和分摊机制,西北区域,西北区域电力辅助服务管理实施细则,high,是,1,是,是,75%,否,5,3,40%,是,
Q-035,新疆电力中长期市场实施细则的交易组织范围是什么,新疆,新疆电力中长期市场实施细则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-036,福建电力调频辅助服务市场交易规则应如何引用正式版本,福建,福建省电力调频辅助服务市场交易规则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-037,江苏电力并网运行和辅助服务管理实施细则分别解决什么问题,江苏,江苏电力并网运行管理实施细则;江苏电力辅助服务管理实施细则,high,是,1,是,是,80%,否,4,2,50%,是,
Q-038,华东电网备用辅助服务市场运营规则的主要适用对象是什么,华东区域,华东电网备用辅助服务市场运营规则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-039,电力辅助服务市场基本规则对经营主体参与和结算有什么要求,全国,电力辅助服务市场基本规则,medium,是,1,是,是,80%,否,8,4,50%,是,
Q-040,电力市场计量结算基本规则主要规范哪些计量结算事项,全国,电力市场计量结算基本规则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-041,电力市场注册基本规则对经营主体注册准入和退出有什么要求,全国,电力市场注册基本规则,high,是,1,是,是,86%,否,8,4,50%,是,
Q-042,电力市场运行基本规则对经营主体权责如何规定,全国,电力市场运行基本规则,high,是,1,是,是,67%,否,8,4,50%,是,
Q-043,电力市场信息披露基本规则要求披露哪些信息,全国,电力市场信息披露基本规则,high,是,1,是,是,50%,否,8,4,50%,是,
Q-044,广东电力市场信息披露管理细则和国家基本规则如何配合引用,广东,广东电力市场规则,high,是,1,是,是,83%,否,8,4,50%,是,
Q-045,南方区域电力并网运行管理实施细则关注哪些并网主体和考核事项,南方区域,南方区域电力并网运行管理实施细则,medium,是,1,是,是,80%,否,2,1,50%,是,
Q-046,新型储能规模化建设专项行动方案提出了哪些重点任务,全国,新型储能规模化建设专项行动方案,high,是,1,是,是,80%,否,8,4,50%,是,
Q-047,加快推进电力现货市场建设工作的通知提出了哪些推进要求,全国,加快推进电力现货市场建设工作的通知,medium,是,1,是,是,83%,否,8,4,50%,是,
Q-048,第三监管周期省级电网输配电价国家文件规定了哪些核心事项,全国,国家发展改革委关于第三监管周期省级电网输配电价及有关事项的通知,high,是,1,是,是,80%,否,8,4,50%,是,
Q-049,山西源网荷储一体化项目管理办法对项目申报和管理有什么要求,山西,源网荷储一体化项目管理办法,high,是,1,是,是,83%,否,8,4,50%,是,
Q-050,蒙西电力现货市场转正式运行通知的政策意义是什么,内蒙古,蒙西电力现货市场由试运行转入正式运行的通知,medium,是,1,是,是,83%,否,8,5,38%,是,
